"tract","Name","Incarceration_Rate_rP_gP_pall"
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",0.0236
24033805500,"Hyattsville, MD",0.0236
51510200500,"Seminary Hill, Alexandria, VA",0.0235
24031701702,"Takoma Park, MD",0.0235
11001009901,"Penn Branch, Washington, DC",0.0235
24033801708,"Oxon Hill, MD",0.0233
51013103501,"Arlington Ridge, Arlington, VA",0.0231
11001002400,"Northwest Washington, Washington, DC",0.023
11001008302,"Northeast Washington, Washington, DC",0.0229
24033804900,"Hyattsville, MD",0.0228
24033806708,"Greenbelt, MD",0.0226
11001005201,"Downtown, Washington, DC",0.0226
51510200406,"Landmark, Alexandria, VA",0.0224
24033803601,"Springdale, MD",0.0223
51510200303,"Landmark, Alexandria, VA",0.0223
24033803519,"Landover, Hyattsville, MD",0.0221
11001009509,"Michigan Park, Washington, DC",0.0219
24033802201,"Upper Marlboro, MD",0.0218
51510200405,"Landmark, Alexandria, VA",0.0216
24033801407,"Fort Washington, MD",0.0213
24033803613,"Lanham, MD",0.0209
11001006700,"Southeast Washington, Washington, DC",0.0208
24033801214,"Clinton, MD",0.0207
11001002302,"Northwest Washington, Washington, DC",0.0203
24033805101,"Chillum, MD",0.0201
11001002002,"16th Street Heights, Washington, DC",0.0201
24033803602,"Glenarden, MD",0.0201
24033801404,"National Harbor, Oxon Hill, MD",0.02
24033805602,"Hyattsville, MD",0.0197
51013101803,"Lyon Park, Arlington, VA",0.0196
51013103602,"Aurora Highlands, Arlington, VA",0.0195
51013102801,"Columbia Forest, Arlington, VA",0.0193
11001004902,"Downtown, Washington, DC",0.019
24033800701,"Upper Marlboro, MD",0.0189
24033801500,"Oxon Hill, MD",0.0189
11001009507,"Northeast Washington, Washington, DC",0.0188
51013102200,"Arlington Mill, Arlington, VA",0.0188
51510201801,"Northeast Alexandria, Alexandria, VA",0.0186
51510200301,"Seminary Hill, Alexandria, VA",0.0185
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",0.0184
24033802104,"District Heights, MD",0.0184
24033802406,"Suitland, Suitland-Silver Hill, MD",0.0182
11001008100,"Northeast Washington, Washington, DC",0.0181
11001000802,"Northwest Washington, Washington, DC",0.0181
51059452801,"Alexandria, VA",0.0178
24033802204,"District Heights, MD",0.0178
51059420503,"Alexandria, VA",0.0178
24033800408,"Glenn Dale, MD",0.0178
51013102902,"Shirlington, Arlington, VA",0.0177
24033807200,"College Park, MD",0.0177
24033801901,"Temple Hills, MD",0.0174
24033804700,"Mount Rainier, MD",0.0172
51013101602,"Colonial Village, Arlington, VA",0.017
11001002001,"16th Street Heights, Washington, DC",0.017
24033803527,"Upper Marlboro, MD",0.0169
24031701701,"Takoma Park, MD",0.0169
11001002702,"Mount Pleasant, Washington, DC",0.0167
51059415200,"Alexandria, VA",0.0167
24031702301,"Silver Spring, MD",0.0166
24033807000,"College Park, MD",0.0165
24033804400,"Brentwood, MD",0.0162
24033800706,"Upper Marlboro, MD",0.0161
11001002801,"Columbia Heights, Washington, DC",0.0156
24033803801,"Hyattsville, MD",0.0155
24033803512,"Upper Marlboro, MD",0.0154
24031704805,"Bethesda, MD",0.0154
24033806710,"Greenbelt, MD",0.0154
51510201802,"Old Town, Alexandria, VA",0.0154
51059420400,"Alexandria, VA",0.0153
11001002201,"Northwest Washington, Washington, DC",0.0153
51013102100,"Glencarlyn, Arlington, VA",0.0152
24033803608,"Lanham, MD",0.0151
51013103503,"Crystal City, Arlington, VA",0.0151
51059471301,"Falls Church, VA",0.0151
24033805202,"Takoma Park, MD",0.015
51059420600,"Groveton, Alexandria, VA",0.015
51013101603,"North Rosslyn, Arlington, VA",0.015
51059450100,"Falls Church, VA",0.0149
24033800411,"Glenn Dale, MD",0.0148
24033801212,"Camp Springs, MD",0.0145
24031702402,"Silver Spring, MD",0.0145
24033806200,"Hyattsville, MD",0.0145
51510200103,"Alexandria West, Alexandria, VA",0.0144
24033801706,"Temple Hills, MD",0.0144
24033803520,"Bowie, MD",0.0144
24033803607,"Lanham, MD",0.0144
24033804101,"Cheverly, MD",0.0143
24033806602,"Riverdale, East Riverdale, MD",0.0142
51013102003,"Buckingham, Arlington, VA",0.0142
51013101403,"Virginia Square, Arlington, VA",0.014
11001009302,"Brookland, Washington, DC",0.0139
24033805000,"Hyattsville, MD",0.0137
24033803513,"Largo, MD",0.0136
24033805700,"Hyattsville, MD",0.0136
51059451400,"Seven Corners, VA",0.0133
51013102302,"Barcroft, Arlington, VA",0.0131
51510200302,"Seminary Hill, Alexandria, VA",0.0129
24031701703,"Takoma Park, MD",0.0129
24031701704,"Takoma Park, MD",0.0129
11001004202,"Northwest Washington, Washington, DC",0.0126
51510200600,"Seminary Hill, Alexandria, VA",0.0124
24033803605,"New Carrollton, MD",0.0123
24033806000,"Hyattsville, MD",0.0122
24033806712,"Greenbelt, MD",0.0121
51013101900,"Ashton Heights, Arlington, VA",0.0121
11001010700,"Downtown, Washington, DC",0.0119
24033804002,"Bladensburg, MD",0.0119
11001000902,"Northwest Washington, Washington, DC",0.0118
24031701800,"Takoma Park, MD",0.0117
24031704803,"Bethesda, MD",0.0116
51013101404,"Virginia Square, Arlington, VA",0.0114
51510200201,"Seminary Hill, Alexandria, VA",0.0113
51059420502,"Alexandria, VA",0.0113
11001010200,"Southwest Washington, Washington, DC",0.0112
24033803521,"Bowie, MD",0.0112
24033801104,"Joint Base Andrews, MD",0.0112
51510200106,"Alexandria West, Alexandria, VA",0.011
51059450200,"Falls Church, VA",0.011
51059450500,"Falls Church, VA",0.0108
51510201900,"Old Town, Alexandria, VA",0.0107
24031702000,"New Hampshire Estates, Silver Spring, MD",0.0107
51510202002,"Old Town, Alexandria, VA",0.0105
51510201300,"Del Ray, Alexandria, VA",0.0105
24033806501,"Riverdale, Riverdale Park, MD",0.0105
24033803516,"Bowie, MD",0.0104
51013102701,"Douglas Park, Arlington, VA",0.0104
24033800412,"Lanham, MD",0.0103
24031702601,"Downtown Silver Spring, Silver Spring, MD",0.0103
51013101401,"Bluemont, Arlington, VA",0.0102
51013102600,"Douglas Park, Arlington, VA",0.0101
51013101402,"Virginia Square, Arlington, VA",0.0101
11001002802,"Columbia Heights, Washington, DC",0.0101
51510200407,"Landmark, Alexandria, VA",0.0101
51510200104,"Alexandria West, Alexandria, VA",0.01
51059451900,"Alexandria, VA",0.0099
51059450300,"Falls Church, VA",0.0097
24033804200,"Cheverly, MD",0.0096
51013100700,"Arlington, VA",0.0096
51013103000,"Shirlington, Arlington, VA",0.0096
51059452101,"Annandale, VA",0.0095
24033803606,"Lanham, MD",0.0095
51510200102,"Alexandria West, Alexandria, VA",0.0094
51059420700,"Alexandria, VA",0.0094
51059452502,"Lincolnia, VA",0.0093
11001005600,"Northwest Washington, Washington, DC",0.0093
51013102301,"Alcova Heights, Arlington, VA",0.0093
51059451601,"Bailey's Crossroads, VA",0.0093
51059450602,"Falls Church, VA",0.0093
11001005001,"Logan Circle, Washington, DC",0.0092
24033806601,"Prince Georges County, MD",0.0092
24033803514,"Largo, MD",0.0092
24033800413,"Lanham, MD",0.009
24033806100,"Hyattsville, MD",0.0088
24031704804,"Bethesda, MD",0.0088
11001006600,"Capitol Hill, Washington, DC",0.0084
51013101200,"Dominion Hills, Arlington, VA",0.0081
51013102002,"Ashton Heights, Arlington, VA",0.008
51013102901,"Shirlington, Arlington, VA",0.008
51059452102,"Annandale, VA",0.0079
51013102001,"Buckingham, Arlington, VA",0.0078
51059451000,"Annandale, VA",0.0078
51059452200,"Annandale, VA",0.0077
11001001600,"Northwest Washington, Washington, DC",0.0077
24033806800,"Berwyn Heights, MD",0.0076
11001008301,"Northeast Washington, Washington, DC",0.0074
24033805802,"Hyattsville, MD",0.0074
51059452700,"Falls Church, VA",0.0074
51510200801,"Taylor Run, Alexandria, VA",0.0074
51013102702,"Douglas Park, Arlington, VA",0.0073
51059452600,"Alexandria, VA",0.0073
11001000501,"Northwest Washington, Washington, DC",0.0072
24033803610,"New Carrollton, MD",0.0072
51059471402,"Falls Church, VA",0.0072
11001006500,"Southeast Washington, Washington, DC",0.0069
51510201400,"Potomac West, Alexandria, VA",0.0068
51059420300,"Alexandria, VA",0.0068
51059470600,"McLean, VA",0.0068
11001001401,"Northwest Washington, Washington, DC",0.0067
11001001302,"Forest Hills, Washington, DC",0.0067
11001001402,"Northwest Washington, Washington, DC",0.0067
51013100100,"Arlington, VA",0.0066
24031702500,"Downtown Silver Spring, Silver Spring, MD",0.0065
51610500200,"Falls Church, VA",0.0064
51013103300,"Arlington Views, Arlington, VA",0.0064
11001007301,"Southwest Washington, Washington, DC",0.0063
51059471100,"Falls Church, VA",0.0062
24031704700,"Bethesda, MD",0.0061
24033805601,"Hyattsville, MD",0.006
51059430600,"Springfield, VA",0.0059
51059420201,"Alexandria, VA",0.0055
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",0.0053
11001000100,"Georgetown, Washington, DC",0.0052
11001002600,"Northwest Washington, Washington, DC",0.005
51510200802,"Taylor Run, Alexandria, VA",0.005
24031705702,"Bethesda, MD",0.005
51510200107,"Alexandria West, Alexandria, VA",0.0049
24031702602,"Silver Spring, MD",0.0049
51013101500,"Lyon Village, Arlington, VA",0.0048
51059430500,"Springfield, VA",0.0047
24033805908,"Chillum, MD",0.0047
51059450800,"Annandale, VA",0.0047
24033806706,"Greenbelt, MD",0.0047
51013100500,"Donaldson Run, Arlington, VA",0.0045
51013101601,"North Highland, Arlington, VA",0.0044
24033803523,"Bowie, MD",0.0044
